Cuisines,Aggregate rating
,3.866666667
Afghani,0.725
"Afghani, Mughlai, Chinese",0
"Afghani, North Indian",0
"Afghani, North Indian, Pakistani, Arabian",0
African,4.7
"African, Portuguese",4.2
American,3.667741935
"American, Asian, Burger",4.6
"American, Asian, European, Seafood",4.6
"American, Asian, Italian, Seafood",4.5
"American, Asian, North Indian, Mexican, South Indian",3.3
"American, BBQ",3.8
"American, BBQ, Burger",3.85
"American, BBQ, Sandwich",4.9
"American, BBQ, Seafood",3.3
"American, BBQ, Southern",3.95
"American, BBQ, Steak",3.825
"American, Bakery, European, Burger, Fusion",3.8
"American, Bar Food",4.225
"American, Bar Food, BBQ",0
"American, Bar Food, Sandwich",3.7
"American, Breakfast",3.814285714
"American, Breakfast, Burger",4.033333333
"American, Breakfast, Desserts",4.3
"American, Breakfast, Diner",3.4
"American, Breakfast, Greek",4
"American, Breakfast, Hawaiian",4.2
"American, Breakfast, Vegetarian",4.4
"American, British, Continental",4
"American, Burger",4.076923077
"American, Burger, Cafe",4.7
"American, Burger, Cajun",3.8
"American, Burger, Fast Food",4.6
"American, Burger, Grill",4.9
"American, Burger, Pizza, Cafe",3.7
"American, Burger, Sandwich",3.85
"American, Cafe",4.2
"American, Caribbean, Seafood",4.9
"American, Chinese, North Indian",2.5
"American, Chinese, North Indian, Italian",3.5
"American, Chinese, Sushi",3.7
"American, Coffee and Tea",4.9
"American, Continental, Burger",4.6
"American, Continental, Italian",3.8
"American, Continental, Italian, Bakery",3.7
"American, Continental, Italian, North Indian, Asian",3.7
"American, Continental, North Indian, Chinese",3.7
"American, Desserts",4.65
"American, Desserts, Diner",3.9
"American, Desserts, Steak",4.7
"American, Diner, Southern",4.3
"American, European",4.2
"American, European, North Indian",3.5
"American, European, Sandwich",4.2
"American, Fast Food",3.35
"American, Fast Food, Burger",2.114285714
"American, Fast Food, Desserts",4
"American, Fast Food, Desserts, Steak",3.3
"American, Fast Food, Salad, Healthy Food",2.9
"American, Fast Food, Steak, Beverages",4.2
"American, Finger Food",3.3
"American, French",3.7
"American, Greek",3.7
"American, Greek, Seafood",4
"American, Grill",4
"American, Hawaiian",4.5
"American, Ice Cream, Desserts",4.2
"American, International, Southwestern",3.6
"American, International, Sushi",3.8
"American, Italian",2.82
"American, Italian, Bakery, Deli, Burger, Sandwich, Pizza",3.8
"American, Italian, Cafe",3.6
"American, Italian, Chinese",4.1
"American, Italian, Chinese, North Indian, Cafe",3.7
"American, Italian, Mughlai, North Indian",3.5
"American, Italian, North Indian, Chinese",0
"American, Italian, North Indian, Chinese, Lebanese",3.6
"American, Italian, North Indian, European, Thai",4.2
"American, Italian, Pizza",3.966666667
"American, Italian, Seafood",3.85
"American, Japanese, Singaporean",3.2
"American, Japanese, Sushi",4.6
"American, Mediterranean, Seafood",3.7
"American, Mexican",3.466666667
"American, Mexican, Burger",3.9
"American, Mexican, Finger Food",4.2
"American, Mexican, Seafood",4
"American, North Indian, European, Asian",3.7
"American, North Indian, Thai, Continental",3.8
"American, Pizza",3.7
"American, Pizza, Bar Food",4.166666667
"American, Sandwich, Salad",4.7
"American, Sandwich, Seafood",4.4
"American, Sandwich, Tea",4.9
"American, Seafood",4.1
"American, Seafood, Cajun",4.6
"American, Seafood, Italian, Japanese, Thai",3.5
"American, Seafood, Southern",4.4
"American, Seafood, Steak",3.8375
"American, Seafood, Sushi",4
"American, Southern",4.225
"American, Southern, Southwestern",4.5
"American, Steak",3.833333333
"American, Tapas",4.1
"American, Tex-Mex",3.8
"American, Tex-Mex, Italian, Mexican, North Indian",2.6
Andhra,3.4
"Andhra, North Indian, Chinese",3.5
"Andhra, North Indian, Chinese, Seafood, Biryani",3.6
Arabian,3.7
"Arabian, Lebanese",3.1
"Arabian, Mexican",3.5
"Arabian, Middle Eastern",4.2
"Arabian, North Indian",2.9
"Argentine, American",4.5
Asian,3.255555556
"Asian Fusion, Cafe",4.2
"Asian Fusion, Pub Food, Fusion, Asian, Filipino, Malaysian, Thai",3.5
"Asian, Bakery",2.8
"Asian, Breakfast, Hawaiian",4.2
"Asian, Burmese",4.6
"Asian, Chinese",3.39
"Asian, Chinese, Japanese",4.2
"Asian, Chinese, North Indian",3.8
"Asian, Chinese, Thai",4.1
"Asian, Chinese, Thai, Japanese",4.7
"Asian, Chinese, Thai, Malaysian, Indonesian, Burmese",3.8
"Asian, Chinese, Thai, Vietnamese",4.2
"Asian, Chinese, Tibetan",4.1
"Asian, Chinese, Vegetarian",3.9
"Asian, Continental",3.5
"Asian, Continental, Fast Food",4.5
"Asian, Continental, Italian, North Indian",3
"Asian, Continental, Seafood",3.8
"Asian, European",3.95
"Asian, European, Seafood",4.2
"Asian, Indonesian, Western",4.6
"Asian, Japanese",3.1
"Asian, Japanese, Chinese, Thai",3.9
"Asian, Japanese, Korean, Thai, Chinese",4.1
"Asian, Japanese, Sushi",4.2
"Asian, Latin American, Vegetarian",4.4
"Asian, Mediterranean, North Indian",4.4
"Asian, North Indian",3.95
"Asian, North Indian, Continental",3.5
"Asian, North Indian, Japanese",2.9
"Asian, North Indian, Mughlai",0
"Asian, Seafood",4.1
"Asian, Sushi",4.1
"Asian, Sushi, Seafood",4.5
"Asian, Sushi, Tapas",4.3
"Asian, Sushi, Thai",4.1
"Asian, Sushi, Vegetarian",3.6
"Asian, Thai",3.966666667
"Asian, Thai, Chinese",4.166666667
"Asian, Thai, Chinese, North Indian",3.1
"Asian, Thai, Vegetarian",4
"Asian, Vegetarian, Vietnamese",3.8
"Asian, Vegetarian, Vietnamese, Bubble Tea",4.4
"Asian, Vietnamese",3.9
Assamese,0
"Assamese, Chinese",3.15
Australian,4.1
Awadhi,0
"Awadhi, Mughlai",0
"Awadhi, Mughlai, North Indian",0
"Awadhi, North Indian",0
"Awadhi, North Indian, Mughlai",3.8
BBQ,3.977777778
"BBQ, Breakfast, Southern",4.9
"BBQ, Burger, Desserts",4.5
"BBQ, Burger, Seafood",3.7
"BBQ, Caribbean, Cajun",4.5
"BBQ, Caribbean, Seafood",4.6
"BBQ, Grill, Brazilian",4.3
"BBQ, Sandwich",4.1
"BBQ, Southern",4
Bakery,1.924311927
"Bakery, Arabian, Middle Eastern",4.2
"Bakery, Beverages",3.4
"Bakery, Beverages, Fast Food",3.6
"Bakery, Cafe",3.9
"Bakery, Cafe, Fast Food",4.3
"Bakery, Chinese",1.44
"Bakery, Chinese, Fast Food",3.533333333
"Bakery, Chinese, North Indian",0
"Bakery, Desserts",2.317647059
"Bakery, Desserts, Bakery",3.1
"Bakery, Desserts, Beverages",3.633333333
"Bakery, Desserts, Cafe",4
"Bakery, Desserts, Chinese, Fast Food",3.4
"Bakery, Desserts, Fast Food",3.366666667
"Bakery, Desserts, Fast Food, Beverages",4.2
"Bakery, Desserts, Fast Food, Mithai",0
"Bakery, Desserts, Fast Food, North Indian",3.5
"Bakery, Desserts, Fast Food, Pizza, Burger, Continental",3.6
"Bakery, Desserts, Fast Food, Pizza, Burger, Finger Food",3.4
"Bakery, Desserts, Fast Food, Street Food, Chinese, Beverages",3.4
"Bakery, Desserts, Healthy Food",0
"Bakery, Desserts, Ice Cream",3.4
"Bakery, Desserts, North Indian, Bengali, South Indian",3.5
"Bakery, Fast Food",2.399074074
"Bakery, Fast Food, Beverages",3.4
"Bakery, Fast Food, Chinese",2.5
"Bakery, Fast Food, Desserts",2.366666667
"Bakery, Fast Food, Pizza",3.1
"Bakery, Fast Food, Street Food",2.9
"Bakery, French",4.1
"Bakery, Healthy Food",0
"Bakery, Italian, Chinese, Mexican",2.533333333
"Bakery, Italian, Fast Food, Chinese, Continental",2.9
"Bakery, Mithai",1
"Bakery, Mithai, Fast Food",2.9
"Bakery, North Indian",0
"Bakery, Pizza",0
"Bakery, Sandwich, Brazilian",4.4
"Bakery, Street Food",3.2
Bar Food,4.233333333
"Bar Food, Brazilian",1.8
"Bar Food, Modern Australian",3.8
"Bar Food, Sandwich, Seafood",4
"Bar Food, Seafood, Vegetarian",4.1
"Bar Food, Steak",3.5
Bengali,3.62
"Bengali, Chinese",0
"Bengali, Fast Food",3.2
"Bengali, North Indian",2.2
"Bengali, North Indian, Chinese",3.7
"Bengali, Seafood",4.1
"Bengali, South Indian, North Indian, Mughlai",3.9
Beverages,2.483333333
"Beverages, Bar Food, Fast Food",4.5
"Beverages, Desserts",1.8
"Beverages, Fast Food",2.4
"Beverages, Healthy Food",0
"Beverages, Ice Cream",3.1
"Beverages, International",4.8
"Beverages, Juices",3.1
"Beverages, Salad",4.3
"Beverages, Salad, Beverages",4.3
"Beverages, Street Food",3.2
Bihari,3.433333333
"Bihari, Lucknowi, North Indian",4
Biryani,1.398148148
"Biryani, Andhra",4
"Biryani, Chinese, North Indian",2.8
"Biryani, Hyderabadi",3.528571429
"Biryani, Kerala",3.2
"Biryani, Lucknowi, North Indian",3.4
"Biryani, Mughlai",2.011764706
"Biryani, Mughlai, Bengali, North Indian",3.7
"Biryani, North Indian",2.538888889
"Biryani, North Indian, Chinese, Mughlai",4.6
"Biryani, North Indian, Fast Food",2.7
"Biryani, North Indian, Hyderabadi",3.966666667
"Biryani, North Indian, Mughlai",3.44
"Biryani, Pizza, Fast Food, Healthy Food",0
Brazilian,3.3
"Brazilian, Bar Food",4.675
"Brazilian, Bar Food, Beverages",4.6
"Brazilian, Cafe",0
"Brazilian, Grill",3.9
"Brazilian, Healthy Food, Juices, Pizza",4.6
"Brazilian, Italian",4.3
"Brazilian, Mineira",0
"Brazilian, North Eastern",4.4
"Brazilian, Seafood",4.2
"Brazilian, Steak",4.6
Breakfast,3.9
"Breakfast, Burger",3.666666667
"Breakfast, Burger, Sandwich",3.7
"Breakfast, Cajun",4.1
"Breakfast, Coffee and Tea",3.7
"Breakfast, Coffee and Tea, Modern Australian",3.7
"Breakfast, Diner",3.6
"Breakfast, Diner, Sandwich",4.3
"Breakfast, Diner, Southern",3.7
"Breakfast, French",3.8
"Breakfast, Mexican",4.5
"Breakfast, Mexican, Southwestern",4
"Breakfast, Modern Australian",4.1
"Breakfast, Pizza",3.5
"Breakfast, Sandwich",4.4
"Breakfast, Spanish, Tapas",4.4
"Breakfast, Vegetarian",4.2
British,4.366666667
"British, Bar Food, Sandwich",4.1
"British, Burger, Cafe",4.1
"British, Cafe",3.8
"British, Chinese, Italian",3.8
"British, Contemporary",4.3
"British, French",4.4
"British, Scottish, Seafood",4.1
"British, Steak",4
Burger,4.45
"Burger, American",4.033333333
"Burger, American, Beverages",3.8
"Burger, American, Fast Food",3.85
"Burger, American, Fast Food, Italian, Pizza",4.5
"Burger, American, Grill",4.1
"Burger, Bar Food",3.95
"Burger, Bar Food, Southern",3.8
"Burger, Bar Food, Steak",4.9
"Burger, Bar Food, Vegetarian",3.8
"Burger, Coffee and Tea, Modern Australian",3.7
"Burger, Desserts",3.9
"Burger, Desserts, Bar Food",4.5
"Burger, Desserts, Fast Food",3.136363636
"Burger, Desserts, Sandwich",3.6
"Burger, Desserts, Vegetarian",4.2
"Burger, Fast Food",3.169767442
"Burger, Fast Food, Chinese",2.133333333
"Burger, Fast Food, Chinese, Bakery",3
"Burger, Fast Food, Desserts, Beverages",4
"Burger, Fast Food, Grill",3.6
"Burger, Finger Food, Pizza",4
"Burger, German, Sandwich",2.2
"Burger, Greek, Sandwich",3.9
"Burger, Grill",4
"Burger, Izgara",4.3
"Burger, Juices, Finger Food",3.6
"Burger, Pizza",3.9
"Burger, Pizza, Biryani",4.3
"Burger, Pizza, Fast Food",0
"Burger, Pizza, Sandwich",3.55
"Burger, Sandwich, Seafood",4.4
"Burger, Seafood",4
"Burger, Seafood, Steak",3.533333333
"Burger, Steak, Seafood",4.1
"Burmese, Chinese, Japanese, Malaysian, Thai",3.866666667
"Burmese, Chinese, Thai",3.4
Cafe,2.8909699
"Cafe, American",4.6
"Cafe, American, Continental, Armenian, Fast Food",3.9
"Cafe, American, Continental, Nepalese",3.6
"Cafe, American, Desserts, Italian, Bakery",3.7
"Cafe, American, Italian",4
"Cafe, American, Italian, Continental",4.1
"Cafe, American, Italian, Filipino",3.6
"Cafe, American, Italian, North Indian, Chinese",3.7
"Cafe, American, Mexican, Italian, Thai",3.8
"Cafe, American, Tea",3.1
"Cafe, Asian, Italian, North Indian",4.2
"Cafe, Australian",3.7
"Cafe, Bakery",3.00625
"Cafe, Bakery, American, Italian",4.4
"Cafe, Bakery, Desserts",4.166666667
"Cafe, Bakery, Fast Food",1.7
"Cafe, Bakery, Italian",4.1
"Cafe, Bakery, Parsi",4.1
"Cafe, Bakery, Tea, Vegetarian",4
"Cafe, Belgian",3.9
"Cafe, Beverages",2.5
"Cafe, Beverages, Desserts, Pizza",4
"Cafe, British",3.7
"Cafe, Burger",4.55
"Cafe, Burger, Tapas, South African, European, Grill",3.9
"Cafe, Charcoal Grill, Steak",4.5
"Cafe, Chinese",3.266666667
"Cafe, Chinese, Continental",4
"Cafe, Chinese, Continental, Italian, Desserts, Beverages",3.2
"Cafe, Chinese, Fast Food",3.3
"Cafe, Chinese, Fast Food, Italian",3.7
"Cafe, Chinese, Fast Food, Seafood",3.8
"Cafe, Chinese, Italian",2.65
"Cafe, Chinese, North Indian",3.3
"Cafe, Chinese, Thai, North Indian, Continental",4
"Cafe, Coffee and Tea, Modern Australian",3.8
"Cafe, Coffee and Tea, Sandwich",3.4
"Cafe, Coffee and Tea, Western",4.2
"Cafe, Continental",3.558333333
"Cafe, Continental, Chinese",2.725
"Cafe, Continental, Chinese, Italian",4.2
"Cafe, Continental, Chinese, North Indian, Italian",3.6
"Cafe, Continental, Desserts",4.4
"Cafe, Continental, Desserts, Ice Cream, Italian, Beverages",3.9
"Cafe, Continental, European, Beverages",3.6
"Cafe, Continental, Fast Food",3.95
"Cafe, Continental, Fast Food, Italian",1.85
"Cafe, Continental, Italian",4.08
"Cafe, Continental, Italian, Bakery",4.4
"Cafe, Continental, Italian, Chinese",3.6
"Cafe, Continental, Italian, Chinese, North Indian",4.2
"Cafe, Continental, Italian, Fast Food",3.7
"Cafe, Continental, Italian, Mexican",4
"Cafe, Continental, Italian, Mexican, Chinese, American",4.7
"Cafe, Continental, Italian, North Indian",3.45
"Cafe, Continental, Italian, Pizza",4.1
"Cafe, Continental, Italian, Street Food",4
"Cafe, Continental, Mexican, Italian, North Indian, Chinese",3.7
"Cafe, Continental, North Indian",3.6
"Cafe, Continental, North Indian, Chinese",4.2
"Cafe, Continental, North Indian, Chinese, Mexican",4
"Cafe, Continental, North Indian, Italian, Chinese, Bakery, Desserts, Finger Food",3.8
"Cafe, Desserts",3.433333333
"Cafe, Desserts, Bakery",3.65
"Cafe, Desserts, Beverages",3.7
"Cafe, Desserts, Healthy Food, Juices",3.7
"Cafe, European",4
"Cafe, European, Mexican",4.4
"Cafe, Fast Food",3.461111111
"Cafe, Fast Food, American",3.8
"Cafe, Fast Food, Asian, Italian",2.8
"Cafe, Fast Food, Bakery",0
"Cafe, Fast Food, Beverages",3.8
"Cafe, Fast Food, Chinese",3.7
"Cafe, Fast Food, Continental",3.2
"Cafe, Fast Food, Desserts",3.6
"Cafe, Fast Food, Healthy Food",4.1
"Cafe, Fast Food, Italian",4.25
"Cafe, Fast Food, Italian, Chinese",3.95
"Cafe, Fast Food, Italian, Mexican",3.9
"Cafe, Fast Food, North Indian",3.8
"Cafe, Fast Food, Pizza",3.4
"Cafe, Fast Food, Street Food",3.95
"Cafe, French",0
"Cafe, Grill",4
"Cafe, Healthy Food, Continental",3.8
"Cafe, Healthy Food, Continental, Italian, Asian",3.7
"Cafe, Healthy Food, North Indian",3
"Cafe, Italian",3.583333333
"Cafe, Italian, Bakery",4.4
"Cafe, Italian, Chinese",3.533333333
"Cafe, Italian, Chinese, Continental",3.9
"Cafe, Italian, Chinese, North Indian",3.65
"Cafe, Italian, Coffee and Tea, Western, Indonesian",4.6
"Cafe, Italian, Continental",4.15
"Cafe, Italian, Continental, Chinese",3.5
"Cafe, Italian, Continental, Desserts",3.9
"Cafe, Italian, Continental, Fast Food",4.3
"Cafe, Italian, Continental, Mexican",4.1
"Cafe, Italian, Continental, Mexican, Mediterranean",3.6
"Cafe, Italian, Desserts",4.1
"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",3.925
"Cafe, Italian, European, Bakery",4.1
"Cafe, Italian, Fast Food",3.9
"Cafe, Italian, Japanese, Continental",4.2
"Cafe, Italian, Lebanese",3.433333333
"Cafe, Italian, Lebanese, Continental, Mediterranean",4.1
"Cafe, Italian, Mexican, Bakery",4.1
"Cafe, Italian, Mexican, Chinese",3.9
"Cafe, Italian, Mexican, Chinese, North Indian",3.3
"Cafe, Italian, Mexican, Continental",4.1
"Cafe, Italian, Mexican, North Indian, Continental",3.9
"Cafe, Italian, Mexican, Salad, Desserts",3.4
"Cafe, Italian, North Indian",3.6
"Cafe, Italian, Pizza",3.7
"Cafe, Italian, Pizza, European, Bakery, Deli",3.9
"Cafe, Italian, Salad",2.6
"Cafe, Kiwi",4.3
"Cafe, Kiwi, Ice Cream, Desserts",4
"Cafe, Korean",3.6
"Cafe, Korean, Desserts",4.5
"Cafe, Lebanese, Italian",3.8
"Cafe, Mediterranean",4.1
"Cafe, Mexican",2.1
"Cafe, Mexican, American, Italian, Lebanese, Continental",4.3
"Cafe, Mexican, Continental",0
"Cafe, Mexican, Italian, Continental",4.3
"Cafe, Mexican, Italian, Fast Food",3.8
"Cafe, Mexican, Italian, North Indian, Chinese",3.8
"Cafe, Mexican, Italian, North Indian, Fast Food",4.2
"Cafe, Mughlai, North Indian",3.2
"Cafe, North Eastern",0
"Cafe, North Indian",4
"Cafe, North Indian, Chinese",3.644444444
"Cafe, North Indian, Chinese, Continental",3.35
"Cafe, North Indian, Chinese, South Indian",3.2
"Cafe, North Indian, Continental",1.966666667
"Cafe, North Indian, Continental, Chinese",3.7
"Cafe, North Indian, Continental, Italian",3.7
"Cafe, North Indian, Fast Food",3.05
"Cafe, North Indian, Italian",3.9
"Cafe, North Indian, Italian, Chinese",2.8
"Cafe, North Indian, Italian, Japanese, Fast Food",3.6
"Cafe, North Indian, Lebanese, Continental",3.5
"Cafe, Patisserie",4.1
"Cafe, Patisserie, Bakery, Desserts",4.4
"Cafe, Pizza",3.5
"Cafe, Pizza, Burger",4
"Cafe, Pizza, Italian",3.8
"Cafe, Sandwich, Southern",4.3
"Cafe, South Indian, North Indian, Bakery",3.5
"Cafe, Spanish, Turkish, Greek",3.2
"Cafe, Sri Lankan, Continental, American",4
"Cafe, Street Food",3.2
"Cafe, Tapas, South African, Beverages, Healthy Food, Desserts, Spanish",4.5
"Cafe, Tea",3.375
"Cafe, Tea, Desserts",3.6
"Cafe, Tibetan",0
"Cafe, Western",4.3
Cajun,4.7
Caribbean,4.3
"Caribbean, Mexican, Cajun",3.8
"Caribbean, Seafood",4.3
"Caribbean, Seafood, Steak",3.5
"Charcoal Grill, Italian, North Indian, European, Indonesian, Thai",4.4
Chinese,2.042090395
"Chinese, Asian",3.625
"Chinese, Asian, Mediterranean, Continental",3.9
"Chinese, Asian, Thai",3.76
"Chinese, Assamese",3.3
"Chinese, Bakery",1.65
"Chinese, Beverages",3.35
"Chinese, Biryani, North Indian",3
"Chinese, Cafe",2.8
"Chinese, Cafe, Fast Food",3.2
"Chinese, Cafe, North Indian, Desserts",3.9
"Chinese, Canadian",3
"Chinese, Continental",3.7
"Chinese, Continental, Italian, North Indian",3.1
"Chinese, Continental, Mexican",2.8
"Chinese, Continental, North Indian",2.85
"Chinese, Continental, North Indian, Mexican",4.1
"Chinese, Continental, North Indian, Mughlai",3.7
"Chinese, Continental, Singaporean",3.4
"Chinese, Continental, Thai",3.2
"Chinese, Dim Sum",4.75
"Chinese, Fast Food",2.055084746
"Chinese, Fast Food, Bakery",1.45
"Chinese, Fast Food, Ice Cream",3.3
"Chinese, Fast Food, North Indian",1.516666667
"Chinese, Fast Food, North Indian, South Indian",3.4
"Chinese, Fast Food, North Indian, South Indian, Street Food, Mithai",2.4
"Chinese, Fast Food, Pizza",0
"Chinese, Healthy Food",2.8
"Chinese, Indian",0
"Chinese, Italian",0
"Chinese, Italian, Continental",3.1
"Chinese, Italian, Continental, North Indian",3.9
"Chinese, Italian, Fast Food",3.066666667
"Chinese, Italian, North Indian",3.65
"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",4.2
"Chinese, Japanese",3.4
"Chinese, Japanese, Italian, Seafood",3.5
"Chinese, Japanese, Korean, Asian",4
"Chinese, Japanese, Sushi",4.5
"Chinese, Japanese, Thai",3.5
"Chinese, Japanese, Thai, Asian",3.5
"Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",3.6
"Chinese, Lucknowi",0
"Chinese, Mangalorean",3.7
"Chinese, Mexican, Fast Food, Continental",3
"Chinese, Mexican, Italian",3
"Chinese, Mithai",0
"Chinese, Mughlai",3.3
"Chinese, Mughlai, North Indian",2.090909091
"Chinese, Naga",3.7
"Chinese, North Eastern",0
"Chinese, North Indian",1.903809524
"Chinese, North Indian, Cafe",3.7
"Chinese, North Indian, Continental",3.6
"Chinese, North Indian, Continental, Italian",3.4
"Chinese, North Indian, Continental, Mexican",2.7
"Chinese, North Indian, Fast Food",2.183333333
"Chinese, North Indian, Fast Food, Italian",4.033333333
"Chinese, North Indian, Fast Food, Street Food",0
"Chinese, North Indian, Italian",2.475
"Chinese, North Indian, Italian, Continental",3.2
"Chinese, North Indian, Italian, Continental, Fast Food",3.2
"Chinese, North Indian, Italian, Fast Food",3.6
"Chinese, North Indian, Italian, Mexican",3.8
"Chinese, North Indian, Italian, Mughlai",3
"Chinese, North Indian, Mithai, Street Food",2.6
"Chinese, North Indian, Mughlai",2.5625
"Chinese, North Indian, Mughlai, Continental",3.266666667
"Chinese, North Indian, Mughlai, Pizza",0
"Chinese, North Indian, Seafood",2.8
"Chinese, North Indian, South Indian",1.033333333
"Chinese, North Indian, South Indian, Fast Food",2
"Chinese, North Indian, South Indian, Healthy Food",3.1
"Chinese, North Indian, South Indian, Street Food",2.3
"Chinese, North Indian, Street Food",3.35
"Chinese, North Indian, Thai",3.5
"Chinese, Pizza",4.6
"Chinese, Seafood",3.4
"Chinese, Seafood, Asian",4.05
"Chinese, Seafood, Cantonese, Dim Sum",3.9
"Chinese, Seafood, Japanese",2.833333333
"Chinese, Seafood, North Indian, Biryani",4.2
"Chinese, Seafood, Thai",3.5
"Chinese, Seafood, Vegetarian",3.6
"Chinese, South Indian",1.6
"Chinese, South Indian, Fast Food",1.475
"Chinese, South Indian, North Indian",2.066666667
"Chinese, Steak",4.6
"Chinese, Street Food",1.4
"Chinese, Sushi, Thai",4.2
"Chinese, Thai",3.309803922
"Chinese, Thai, Asian",3.55
"Chinese, Thai, Asian, Japanese, Korean, Seafood",3.9
"Chinese, Thai, Asian, Malaysian, Vietnamese, Japanese",4
"Chinese, Thai, Burmese, Vietnamese, Tibetan, Japanese",4.4
"Chinese, Thai, Continental, Fast Food, North Indian",3.9
"Chinese, Thai, Continental, North Indian",3.75
"Chinese, Thai, Fast Food",2.8
"Chinese, Thai, Japanese",4.1
"Chinese, Thai, Japanese, Asian",4.4
"Chinese, Thai, Japanese, Tibetan",3.35
"Chinese, Thai, Malaysian, Indonesian",3.3
"Chinese, Thai, Malaysian, Vietnamese, Korean, Indonesian, Asian",3.8
"Chinese, Thai, North Indian",3.7
"Chinese, Thai, North Indian, Japanese",3.8
"Chinese, Thai, North Indian, South Indian",3.7
"Chinese, Thai, Seafood",3.4
"Chinese, Thai, Seafood, Naga",3.8
"Chinese, Thai, Seafood, North Indian, Italian",3
"Chinese, Thai, Sushi",3.95
"Chinese, Thai, Tibetan",4.2
"Chinese, Thai, Tibetan, Japanese",3.9
"Chinese, Tibetan",3.2
"Chinese, Tibetan, Fast Food",3.3
"Chinese, Tibetan, Japanese",3.6
"Coffee and Tea, Cuban, Latin American",3.9
"Coffee and Tea, Desserts",4.3
"Coffee and Tea, Desserts, Beverages",3.7
"Coffee and Tea, Mediterranean",4.3
"Coffee and Tea, Modern Australian",2.4
"Coffee and Tea, Sandwich",3.6
"Coffee and Tea, Tapas, Australian",3.6
"Coffee and Tea, Tea, Modern Australian",3.6
Contemporary,4.5
"Contemporary, Burger, European",4
"Contemporary, Italian",4.8
"Contemporary, Sushi, Grill, Italian, Steak",3.4
Continental,3.566666667
"Continental, American",3.92
"Continental, American, Asian, North Indian",4.15
"Continental, American, Cafe",4.1
"Continental, American, Fast Food",3.9
"Continental, American, Italian",3.766666667
"Continental, American, Italian, Bakery",3.9
"Continental, American, Italian, Mediterranean",3.8
"Continental, American, Italian, North Indian, Chinese",3.6
"Continental, American, Italian, North Indian, Chinese, Cafe",4.7
"Continental, American, Italian, Seafood, North Indian, Cafe",4
"Continental, American, North Indian",3.6
"Continental, American, North Indian, Chinese",3.65
"Continental, American, Seafood",4.2
"Continental, American, Tex-Mex, North Indian",3.5
"Continental, Asian",4.2
"Continental, Asian, Italian, Mediterranean, Burger",3.8
"Continental, Asian, North Indian",3.4
"Continental, Asian, North Indian, Italian",3.5
"Continental, Asian, Sushi",4.2
"Continental, Burger, American",3.5
"Continental, Burger, Pizza, North Indian, European, Finger Food",3.9
"Continental, Cafe",3.7
"Continental, Cafe, Desserts, Bakery",4.3
"Continental, Cafe, Italian, Desserts",4.4
"Continental, Cafe, Italian, Pizza, North Indian, Chinese, Bakery, Mughlai",3.4
"Continental, Cafe, Spanish, Italian, European, Greek, Mediterranean",4.5
"Continental, Chinese",3.65
"Continental, Chinese, Biryani, North Indian",3.6
"Continental, Chinese, Fast Food",0
"Continental, Chinese, Italian, Bakery",4.2
