Cuisines,Aggregate rating
"Mithai, Street Food, Fast Food",1.4
"Mithai, Street Food, North Indian",1.45
"Mithai, Street Food, North Indian, South Indian",0
"Mithai, Street Food, North Indian, South Indian, Chinese",2.7
"Mithai, Street Food, North Indian, South Indian, Chinese, Fast Food, Beverages",3.2
"Mithai, Street Food, South Indian, Chinese, North Indian",2.7
Modern Australian,2.9
"Modern Australian, Australian",4.4
Modern Indian,4.345454545
"Modern Indian, Asian",3.9
"Modern Indian, North Indian",4.35
Mughlai,1.56407767
"Mughlai, Afghani",2.8
"Mughlai, Biryani",2.5375
"Mughlai, Chinese",1.516666667
"Mughlai, Chinese, Cafe, BBQ, Cajun",3.6
"Mughlai, Chinese, North Indian",3.35
"Mughlai, Continental, Chinese",3.1
"Mughlai, Fast Food",1.34
"Mughlai, Fast Food, North Indian",2.4
"Mughlai, Hyderabadi",4.1
"Mughlai, Italian, Finger Food, Middle Eastern",3.3
"Mughlai, Lucknowi",4.9
"Mughlai, Lucknowi, Awadhi",3.1
"Mughlai, North Indian",2.091666667
"Mughlai, North Indian, Bengali, Continental",2.7
"Mughlai, North Indian, Chinese",2.983333333
"Mughlai, North Indian, South Indian",3.9
"Mughlai, Pakistani, North Indian",3.8
"Mughlai, Street Food",4.4
Naga,3.6
"Naga, Chinese",3.1
"Naga, Tibetan",3.4
"Naga, Tibetan, Chinese, Bakery",3
Nepalese,1.333333333
"Nepalese, Tibetan",0
New American,3.6
"New American, Tapas",4.6
North Eastern,1.85
"North Eastern, Continental, South Indian, Fast Food",3.5
"North Eastern, North Indian",3
"North Eastern, North Indian, Chinese",0
North Indian,1.67232906
"North Indian, Afghani",2.6
"North Indian, Afghani, Mughlai",4.3
"North Indian, American, Asian, Biryani",4.7
"North Indian, American, Chinese",4.1
"North Indian, American, Italian",2.8
"North Indian, Andhra, Chettinad, Bengali, Mughlai, Chinese",4.1
"North Indian, Andhra, Mughlai",3.7
"North Indian, Asian",4.2
"North Indian, Asian, Continental",3.475
"North Indian, Asian, European",3.95
"North Indian, Asian, Italian",4
"North Indian, Awadhi",0
"North Indian, Bengali",2.275
"North Indian, Beverages",2.7
"North Indian, Biryani",2.253333333
"North Indian, Biryani, Chinese",3
"North Indian, Biryani, Chinese, Fast Food",3.66
"North Indian, Biryani, Fast Food",2.6
"North Indian, Biryani, Fast Food, Chinese",2.7
"North Indian, Biryani, Mughlai",3.3
"North Indian, Cafe",3.4
"North Indian, Cafe, Italian, Mexican, Continental",3.8
"North Indian, Chinese",2.421722114
"North Indian, Chinese, Arabian",3.8
"North Indian, Chinese, Bakery",2.2
"North Indian, Chinese, Biryani",2.7
"North Indian, Chinese, Cafe",3.633333333
"North Indian, Chinese, Continental",3.036923077
"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",3.8
"North Indian, Chinese, Continental, Fast Food",3.575
"North Indian, Chinese, Continental, Goan, Seafood",3.8
"North Indian, Chinese, Continental, Italian",3.608333333
"North Indian, Chinese, Continental, Italian, Burger",3.4
"North Indian, Chinese, Continental, Italian, Mexican",3.4
"North Indian, Chinese, Continental, Italian, Mexican, Lebanese",3.5
"North Indian, Chinese, Continental, Mediterranean, Asian",3.7
"North Indian, Chinese, Continental, Mughlai",1.7
"North Indian, Chinese, Continental, Pizza",3.7
"North Indian, Chinese, Continental, Rajasthani",4.5
"North Indian, Chinese, Continental, Seafood",3.4
"North Indian, Chinese, Continental, Thai",3.4
"North Indian, Chinese, Fast Food",2.720588235
"North Indian, Chinese, Fast Food, Cafe",3.9
"North Indian, Chinese, Fast Food, Desserts",2.9
"North Indian, Chinese, Fast Food, Mithai",2.9
"North Indian, Chinese, Fast Food, South Indian",2.9
"North Indian, Chinese, Fast Food, Street Food",3.15
"North Indian, Chinese, Finger Food",3.3
"North Indian, Chinese, Italian",3.125
"North Indian, Chinese, Italian, American, Middle Eastern",4.2
"North Indian, Chinese, Italian, Continental",3.5125
"North Indian, Chinese, Italian, Fast Food",2.9
"North Indian, Chinese, Italian, Finger Food",3.4
"North Indian, Chinese, Italian, Lebanese, Mexican",4
"North Indian, Chinese, Italian, Mediterranean",3.6
"North Indian, Chinese, Italian, Mexican",4
"North Indian, Chinese, Italian, Mexican, Lebanese",4
"North Indian, Chinese, Italian, Street Food, Desserts",4.3
"North Indian, Chinese, Italian, Thai",0
"North Indian, Chinese, Kashmiri",0
"North Indian, Chinese, Mediterranean",4.6
"North Indian, Chinese, Mediterranean, Asian, Continental",3.9
"North Indian, Chinese, Mexican, Beverages",3.8
"North Indian, Chinese, Mexican, Italian",4.4
"North Indian, Chinese, Mexican, Italian, Thai, Lebanese",4.4
"North Indian, Chinese, Mexican, Lebanese, Italian, Fast Food",2.5
"North Indian, Chinese, Mughlai",2.74
"North Indian, Chinese, Mughlai, Continental",3.5
"North Indian, Chinese, Mughlai, Fast Food",2.55
"North Indian, Chinese, Mughlai, Italian",3.8
"North Indian, Chinese, Mughlai, South Indian",3.1
"North Indian, Chinese, Raw Meats",3.05
"North Indian, Chinese, Seafood",3.4
"North Indian, Chinese, Seafood, Chettinad",3.5
"North Indian, Chinese, South Indian",1.938235294
"North Indian, Chinese, South Indian, Bakery",2.9
"North Indian, Chinese, South Indian, Chinese",3.7
"North Indian, Chinese, South Indian, Fast Food",2.69
"North Indian, Chinese, South Indian, Italian",3.9
"North Indian, Chinese, South Indian, Mithai",3.04
"North Indian, Chinese, South Indian, Seafood, Chettinad",3.65
"North Indian, Chinese, South Indian, Street Food, Fast Food, Mithai",3.4
"North Indian, Chinese, South Indian, Street Food, Mithai",2.4
"North Indian, Chinese, Sri Lankan",2.4
"North Indian, Chinese, Street Food",2.983333333
"North Indian, Chinese, Street Food, Fast Food",2.5
"North Indian, Chinese, Street Food, Mithai",3.4
"North Indian, Chinese, Thai",3.58
"North Indian, Chinese, Thai, Continental",3.6
"North Indian, Chinese, Thai, Italian, Middle Eastern",3.5
"North Indian, Chinese, Thai, Mexican, Italian",3.9
"North Indian, Chinese, Tibetan",0
"North Indian, Chinese, Tibetan, Italian, Fast Food",3.2
"North Indian, Chinese, Turkish",3.8
"North Indian, Continental",3.264285714
"North Indian, Continental, Asian",3.7375
"North Indian, Continental, Asian, Chinese, Thai",3.6
"North Indian, Continental, Asian, Italian",3.9
"North Indian, Continental, Beverages, Italian, Burger, Healthy Food, Mediterranean",4.5
"North Indian, Continental, Chinese",2.722222222
"North Indian, Continental, Chinese, Fast Food",2.7
"North Indian, Continental, Chinese, Italian",3.833333333
"North Indian, Continental, Chinese, Italian, Lebanese",3.7
"North Indian, Continental, Chinese, Italian, Mexican",4.3
"North Indian, Continental, Chinese, Italian, Thai, Mughlai",3.8
"North Indian, Continental, Chinese, Japanese, Italian, Thai",3.9
"North Indian, Continental, Chinese, Mexican, Italian, Desserts",2.6
"North Indian, Continental, Chinese, Seafood",4.3
"North Indian, Continental, Chinese, South Indian",3.7
"North Indian, Continental, European",3.5
"North Indian, Continental, European, American, Mediterranean",4.2
"North Indian, Continental, European, Chinese, Thai",4.3
"North Indian, Continental, Fast Food",3.166666667
"North Indian, Continental, Finger Food",3.75
"North Indian, Continental, Goan",4.25
"North Indian, Continental, Italian",3.422222222
"North Indian, Continental, Italian, Asian",4
"North Indian, Continental, Italian, Chinese",4
"North Indian, Continental, Italian, Finger Food",3.8
"North Indian, Continental, Italian, Thai, Chinese",3.4
"North Indian, Continental, Lebanese",3.5
"North Indian, Continental, Mexican, Italian",3.95
"North Indian, Continental, Mughlai",3
"North Indian, Continental, Mughlai, Asian",4.033333333
"North Indian, Continental, Salad",3.6
"North Indian, Continental, South Indian, Chinese",0
"North Indian, Continental, South Indian, Chinese, Thai, Asian",4.2
"North Indian, Continental, Thai, Chinese",3.5
"North Indian, European",3.62
"North Indian, European, Asian",3.7
"North Indian, European, Asian, Mediterranean",3.75
"North Indian, European, Chinese",3.4
"North Indian, European, Continental",3.9
"North Indian, European, Continental, Finger Food",3.9
"North Indian, European, Mediterranean",4.46
"North Indian, European, Mediterranean, Asian",3.8
"North Indian, European, South Indian",3.6
"North Indian, Fast Food",2.421621622
"North Indian, Fast Food, Afghani",3
"North Indian, Fast Food, Bihari",3.1
"North Indian, Fast Food, Biryani",2.9
"North Indian, Fast Food, Chinese",2.777777778
"North Indian, Fast Food, Chinese, Biryani, Mughlai",3.8
"North Indian, Fast Food, Chinese, Continental",2.9
"North Indian, Fast Food, Chinese, Japanese, Asian, Italian",2.9
"North Indian, Fast Food, Chinese, Mithai",2.7
"North Indian, Fast Food, Chinese, South Indian",3.2
"North Indian, Fast Food, Continental",3.4
"North Indian, Fast Food, Italian, Asian",4.033333333
"North Indian, Fast Food, Italian, Chinese, Cafe",3.8
"North Indian, Fast Food, Mithai",0
"North Indian, Fast Food, Mughlai",3.333333333
"North Indian, Fast Food, South Indian",2.35
"North Indian, Fast Food, Street Food",3.7
"North Indian, Finger Food",1.5
"North Indian, Finger Food, Italian, Chinese",3.8
"North Indian, French, Continental",3.8
"North Indian, Greek, Mughlai",3.2
"North Indian, Healthy Food, Rajasthani",3.1
"North Indian, Hyderabadi",3.3
"North Indian, Hyderabadi, Kashmiri, Chinese",4
"North Indian, Indian",0
"North Indian, Italian",3.933333333
"North Indian, Italian, Asian, American",4.4
"North Indian, Italian, Asian, South Indian",4.1
"North Indian, Italian, Chinese",2.866666667
"North Indian, Italian, Chinese, American",4.4
"North Indian, Italian, Chinese, Fast Food",3.8
"North Indian, Italian, Chinese, Mexican",4.25
"North Indian, Italian, Chinese, Thai",3.4
"North Indian, Italian, Continental",2.585714286
"North Indian, Italian, Continental, Asian",4.2
"North Indian, Italian, Continental, Chinese",3.3
"North Indian, Italian, Fast Food",3.35
"North Indian, Italian, Finger Food",3.9
"North Indian, Italian, Mexican",2.7
"North Indian, Italian, Mexican, Asian",3.8
"North Indian, Italian, Mexican, Chettinad, Chinese, Lebanese",3.9
"North Indian, Italian, Parsi, Asian, Kerala",4.4
"North Indian, Japanese, Italian",4.3
"North Indian, Kashmiri",3.2
"North Indian, Kashmiri, Chinese, Thai, Korean",3.9
"North Indian, Kashmiri, Mughlai",2.6
"North Indian, Kerala, Chinese, Continental",4.2
"North Indian, Lebanese, European, Mexican",3.9
"North Indian, Lebanese, Mexican, Asian, Italian, American, European",4
"North Indian, Lucknowi",0
"North Indian, Maharashtrian",3.7
"North Indian, Mangalorean, Chinese",4
"North Indian, Mediterranean, Asian",3.833333333
"North Indian, Mediterranean, Asian, Arabian",4.6
"North Indian, Mediterranean, Asian, Chinese",4.4
"North Indian, Mediterranean, Asian, Continental",3.9
"North Indian, Mediterranean, Asian, Fast Food",4.3
"North Indian, Mediterranean, Chinese",3.6
"North Indian, Mediterranean, Continental",3.4
"North Indian, Mediterranean, European, Asian, Chinese, Pizza",3.8
"North Indian, Mexican, Chinese, Italian",3.9
"North Indian, Mexican, Italian",4.3
"North Indian, Mexican, Italian, Continental",3.9
"North Indian, Middle Eastern, Pizza",4.2
"North Indian, Mithai",1.55
"North Indian, Mithai, Chinese",0
"North Indian, Mithai, Chinese, Street Food",3.8
"North Indian, Mithai, South Indian, Street Food, Chinese",2.4
"North Indian, Mithai, South Indian, Street Food, Fast Food",2.7
"North Indian, Mithai, Street Food",2.6
"North Indian, Mughlai",2.888622754
"North Indian, Mughlai, Armenian",0
"North Indian, Mughlai, Asian, Continental",3.9
"North Indian, Mughlai, Awadhi",1.6
"North Indian, Mughlai, Biryani",3.575
"North Indian, Mughlai, Biryani, Bengali",3.5
"North Indian, Mughlai, Chinese",2.568527919
"North Indian, Mughlai, Chinese, Bakery",3.7
"North Indian, Mughlai, Chinese, Continental",3.766666667
"North Indian, Mughlai, Chinese, Continental, Fast Food",2.8
"North Indian, Mughlai, Chinese, Fast Food",2.5875
"North Indian, Mughlai, Chinese, Italian",3.55
"North Indian, Mughlai, Chinese, Mangalorean",3.7
"North Indian, Mughlai, Chinese, Raw Meats",2.9
"North Indian, Mughlai, Chinese, Seafood",3.2
"North Indian, Mughlai, Chinese, South Indian",3.76
"North Indian, Mughlai, Continental",1.6
"North Indian, Mughlai, Continental, Chinese",3.7
"North Indian, Mughlai, Fast Food",2.9
"North Indian, Mughlai, Fast Food, South Indian",3.3
"North Indian, Mughlai, Hyderabadi",3.3
"North Indian, Mughlai, Italian, Chinese",3.5
"North Indian, Mughlai, Kashmiri",3.5
"North Indian, Mughlai, Lebanese",3.8
"North Indian, Mughlai, Lebanese, Arabian, Mediterranean",4
"North Indian, Mughlai, Mexican, Thai",4.1
"North Indian, Mughlai, Mughlai",0
"North Indian, Mughlai, Nepalese, Tibetan, Korean",0
"North Indian, Mughlai, Seafood",2.05
"North Indian, Mughlai, South Indian",1.65
"North Indian, Mughlai, South Indian, Chinese",3.1
"North Indian, Mughlai, South Indian, Rajasthani, Street Food",3.6
"North Indian, North Eastern, Continental",4.2
"North Indian, Rajasthani",2.6
"North Indian, Rajasthani, Asian",4
"North Indian, Rajasthani, Gujarati",0
"North Indian, Seafood",0
"North Indian, Seafood, Bengali",3.3
"North Indian, Seafood, Continental",3.4
"North Indian, Seafood, South Indian, Italian",3.8
"North Indian, South Indian",1.554285714
"North Indian, South Indian, Asian, Continental",3.6
"North Indian, South Indian, Bakery, Beverages",0
"North Indian, South Indian, Bakery, Italian",0
"North Indian, South Indian, Bihari",4.5
"North Indian, South Indian, Chinese",1.943478261
"North Indian, South Indian, Chinese, Fast Food",2.538461538
"North Indian, South Indian, Chinese, Fast Food, Bakery, Mithai",0
"North Indian, South Indian, Chinese, Fast Food, Mithai",3.1
"North Indian, South Indian, Chinese, Healthy Food, Bakery",0
"North Indian, South Indian, Chinese, Mithai",2.7
"North Indian, South Indian, Chinese, Mithai, Fast Food",3.1
"North Indian, South Indian, Chinese, Mughlai",2.4
"North Indian, South Indian, Chinese, Street Food",3.05
"North Indian, South Indian, Chinese, Street Food, Fast Food",2.6
"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai",2.4
"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3.528571429
"North Indian, South Indian, Chinese, Street Food, Mithai",3.1
"North Indian, South Indian, Continental, Fast Food",3
"North Indian, South Indian, Fast Food",2.766666667
"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",3.1125
"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Mithai",3.2
"North Indian, South Indian, Fast Food, Street Food, Chinese, Desserts, Mithai",2.8
"North Indian, South Indian, Fast Food, Street Food, Chinese, Mithai",3.4
"North Indian, South Indian, Fast Food, Street Food, Mithai",2.85
"North Indian, South Indian, Gujarati, Rajasthani",3.4
"North Indian, South Indian, Italian, Chinese",0
"North Indian, South Indian, Italian, Continental, Mediterranean, Lebanese, Desserts",3.3
"North Indian, South Indian, Mithai",0
"North Indian, South Indian, Mughlai",2.6
"North Indian, South Indian, Street Food",2.5
"North Indian, South Indian, Street Food, Bakery",4.25
"North Indian, South Indian, Street Food, Chinese, Fast Food, Mithai",2.1
"North Indian, South Indian, Street Food, Fast Food, Mithai",2.5
"North Indian, South Indian, Street Food, Mithai",3.175
"North Indian, Spanish, Mediterranean",3.9
"North Indian, Street Food",2.695454545
"North Indian, Street Food, Beverages",3.8
"North Indian, Street Food, Chinese",3.2
"North Indian, Street Food, Chinese, South Indian",2.5
"North Indian, Street Food, Chinese, South Indian, Mithai",3.6
"North Indian, Street Food, Fast Food",2.1
"North Indian, Street Food, Fast Food, Chinese, South Indian, Mithai",3
"North Indian, Street Food, Mithai",1.78
"North Indian, Street Food, Mughlai",3.5
"North Indian, Street Food, South Indian, Fast Food, Chinese",2.8
"North Indian, Street Food, South Indian, Mithai",3.3
"North Indian, Thai, Continental",3.95
"North Indian, Thai, Italian, Chinese, Mexican",3.5
"North Indian, Tibetan",3.7
Oriya,3.25
Pakistani,4
"Pakistani, Afghani, Indian, Hyderabadi",4
"Pakistani, Chinese, Indian, Afghani",4.1
"Pakistani, Indian",3.9
"Pakistani, Indian, Afghani, Curry",3.9
"Pakistani, Indian, Mughlai",4.2
Parsi,3.95
"Parsi, Iranian",4.066666667
"Parsi, North Indian",4.2
"Patisserie, Coffee and Tea",3.4
"Peranakan, Indonesian",4
"Persian, Arabian, Lebanese, North Indian",4.6
"Peruvian, Latin American",3.6
Pizza,2.20754717
"Pizza, Bar Food",4.033333333
"Pizza, Bar Food, Sandwich",3.7
"Pizza, Burger, Fast Food",0
"Pizza, Cafe, Italian",4.5
"Pizza, Chinese",3.7
"Pizza, Continental, Beverages",3.3
"Pizza, Desserts",3.1
"Pizza, Fast Food",2.629007634
"Pizza, Fast Food, Bakery",0
"Pizza, Fast Food, Chinese",3.4
"Pizza, Grill",3.7
"Pizza, Ice Cream",0
"Pizza, Italian",3.668421053
"Pizza, Italian, Beverages, Desserts",4.3
"Pizza, Italian, Cafe",3.9
"Pizza, Italian, Fast Food",3.6
"Pizza, Mexican, Chinese, Italian",4
"Pizza, North Indian",3.5
"Pizza, North Indian, Continental",3.4
"Pizza, Salad, Finger Food",3.4
"Pizza, Sandwich",4.14
"Pizza, Sandwich, Vegetarian",3.8
"Pizza, Seafood, Steak",4
"Portuguese, African",2.875
"Portuguese, African, Lebanese",4
Pub Food,4.4
Rajasthani,3.1
"Rajasthani, Gujarati, Mughlai",3.6
"Rajasthani, North Indian",3.4
"Ramen, Japanese",4.6
Raw Meats,0
"Raw Meats, Fast Food",1.834090909
"Raw Meats, Fast Food, North Indian",1.925
"Raw Meats, North Indian",0.866666667
"Raw Meats, North Indian, Chinese",0
"Raw Meats, North Indian, Chinese, Fast Food",3.7
"Raw Meats, North Indian, Fast Food",2.734693878
"Raw Meats, Street Food",0
Restaurant Cafe,3.85
"Restaurant Cafe, Desserts",4.2
"Restaurant Cafe, Turkish, Desserts",4.2
"Salad, Continental",4.1
"Salad, Healthy Food, Burger, Italian, Continental, Chinese, North Indian, Beverages",3.1
Sandwich,4.1
"Sandwich, Seafood, Cajun",4.65
"Sandwich, Seafood, Steak",4.5
"Sandwich, Sushi, Tapas",3.6
"Scottish, Cafe",4.7
Seafood,4.114285714
"Seafood, African, Sushi",3.8
"Seafood, American",3.6
"Seafood, American, Mediterranean, Japanese",4.7
"Seafood, Asian, Filipino, Indian",4.4
"Seafood, Asian, Grill, Sushi",3.8
"Seafood, Bar Food, Brazilian",4
"Seafood, Chinese",4.2
"Seafood, Chinese, Japanese, Sushi, Thai",3.7
"Seafood, Chinese, Japanese, Vietnamese, Asian, Thai",3.9
"Seafood, Chinese, Thai",4
"Seafood, Continental, European",3.7
"Seafood, Continental, European, German",4.7
"Seafood, Continental, Goan, Asian, Andhra",3.8
"Seafood, Filipino, Asian, European",4.2
"Seafood, French",4.6
"Seafood, Italian",3.95
"Seafood, Japanese, Sushi",4.4
"Seafood, Kiwi",4.45
"Seafood, Mediterranean",3.7
"Seafood, Mughlai, North Indian",0
"Seafood, North Indian",3.9
"Seafood, South Indian, Andhra, Hyderabadi, Goan",4.2
"Seafood, Southern",3.9
"Seafood, Steak",4
"Seafood, Steak, Vegetarian",4.2
"Seafood, Sushi",4.15
"Seafood, Tapas, Bar Food",3.8
"Seafood, Western",3.7
"Singaporean, Australian, German",3.1
"Singaporean, Chinese, Seafood, Malay, Indian",3
South American,3.5
South Indian,2.370535714
"South Indian, Andhra",4.2
"South Indian, Biryani",1.5
"South Indian, Chettinad",3.5
"South Indian, Chettinad, North Indian",3.9
"South Indian, Chettinad, North Indian, Chinese",3.4
"South Indian, Chinese",2.426470588
"South Indian, Chinese, Continental",0
"South Indian, Chinese, Continental, Italian, North Indian",4.1
"South Indian, Chinese, Fast Food",0.966666667
"South Indian, Chinese, Fast Food, Mithai",2.8
"South Indian, Chinese, Mithai",0
"South Indian, Chinese, Mughlai",0
"South Indian, Chinese, North Indian",2.425
"South Indian, Chinese, Street Food, Mithai",3.3
"South Indian, Desserts",4.1
"South Indian, Desserts, Beverages",3.7
"South Indian, Fast Food",2.9
"South Indian, Fast Food, Chinese",1.45
"South Indian, Fast Food, North Indian, Chinese",0
"South Indian, Fast Food, Street Food",3.1
"South Indian, Kerala",3.6
"South Indian, Nepalese",0
"South Indian, North Indian",2.989473684
"South Indian, North Indian, Chinese",2.864285714
"South Indian, North Indian, Chinese, Continental",3.5
"South Indian, North Indian, Chinese, Fast Food",3.35
"South Indian, North Indian, Chinese, Fast Food, Street Food, Mithai",3.5
"South Indian, North Indian, Chinese, Mughlai",3.1
"South Indian, North Indian, Chinese, Street Food, Fast Food",2.8
"South Indian, North Indian, Fast Food",2.8
"South Indian, North Indian, Street Food",3
"South Indian, North Indian, Street Food, Chinese, Mithai",3.5
"South Indian, Pizza, Chinese",0
"South Indian, Seafood, Kerala",4
"South Indian, Street Food",0
"South Indian, Street Food, Chinese",0
"South Indian, Street Food, Desserts",3
"South Indian, Street Food, Mithai",1.75
Southern,3.975
"Southern, Cajun, Soul Food",3.6
"Spanish, Italian",4.3
"Spanish, Tapas",4.066666667
Sri Lankan,4
Steak,4.185714286
"Steak, American",3.8
"Steak, BBQ",4.4
"Steak, Scottish, British",4.2
"Steak, Seafood, Grill",4.4
"Steak, Tapas, Bar Food",3.5
Street Food,2.161744966
"Street Food, Bakery",2.9
"Street Food, Beverages",3.5
"Street Food, Burger, American, Finger Food, German",4.4
"Street Food, Burger, Desserts, Italian, Pizza, North Indian, European, Finger Food",4
"Street Food, Chinese",0.55
"Street Food, Chinese, Mithai",3.3
"Street Food, Chinese, North Indian",1.8
"Street Food, Chinese, North Indian, Mithai",3.4
"Street Food, Continental, Burger, Grill",3.9
"Street Food, Continental, South Indian, North Indian, Chinese",3.9
"Street Food, Desserts",2.866666667
"Street Food, Fast Food",1.266666667
"Street Food, Fast Food, Beverages",3.1
"Street Food, Fast Food, Chinese, South Indian, North Indian",3.7
"Street Food, Fast Food, North Indian",3.8
"Street Food, Mithai",1.966666667
"Street Food, Mithai, North Indian, South Indian, Chinese",0
"Street Food, Mithai, South Indian, North Indian, Chinese",2.5
"Street Food, Mughlai",3.3
"Street Food, North Indian",2.708333333
"Street Food, North Indian, Chinese, Continental",3.9
"Street Food, North Indian, Mithai",3.3
"Street Food, North Indian, South Indian",2.9
"Street Food, North Indian, South Indian, Chinese",3.1
"Street Food, North Indian, South Indian, Chinese, Mithai",3.8
"Street Food, North Indian, South Indian, Mithai",3.466666667
"Street Food, South Indian",3.466666667
"Street Food, South Indian, Chinese",2.7
"Street Food, South Indian, Mithai",2.44
"Sunda, Indonesian",4.9
Sushi,3.9
"Sushi, Asian",3.633333333
"Sushi, Japanese",4.2
"Sushi, Japanese, Cantonese",3.8
"Sushi, Japanese, Healthy Food",4
"Sushi, Teriyaki",4.5
"Sushi, Thai",4
"Taiwanese, Street Food",4.65
Tapas,4.4
Tea,0.566666667
"Tea, Beverages, Fast Food",0
"Tea, Cafe",4.1
"Tea, Fast Food",1.9
"Tea, Modern Australian",3.5
"Tex-Mex, American",4
Thai,4.1
"Thai, Asian",4.05
"Thai, Chinese",3.466666667
"Thai, Chinese, Asian",3.8
"Thai, Chinese, Asian, Malaysian",3.8
"Thai, Chinese, Japanese",3.7
"Thai, Chinese, North Indian",3.9
"Thai, Chinese, Seafood",3.1
"Thai, European, Mexican, North Indian, Chinese, Cafe",4.5
"Thai, Japanese",3.6
"Thai, Japanese, Chinese, Indonesian, Vietnamese",4.4
Tibetan,0
"Tibetan, Chinese",2.161538462
"Tibetan, Chinese, North Indian",0
"Tibetan, Fast Food",2.6
"Tibetan, Nepalese",3.65
"Tibetan, South Indian, North Indian",0
"Tibetan, Street Food",0
Turkish,3.4
Turkish Pizza,4.3
"Turkish, Arabian, Middle Eastern",4.3
"Turkish, Arabian, Moroccan, Lebanese",0
"Turkish, Mediterranean, Middle Eastern",4.3
Vietnamese,4.05
"Vietnamese, Fish and Chips",4.3
"Western, Asian, Cafe",4.2
"Western, Fusion, Fast Food",3.2
World Cuisine,4.9
"World Cuisine, Mexican, Italian",4.4
"World Cuisine, Patisserie, Cafe",4.2